"Compliance Status","Severity","ID","Title","Failed checks","Unknown checks","Not available checks","Passed checks"
"FAILED","LOW","CloudTrail.4","CloudTrail log file validation should be enabled","1","0","0","0"
"FAILED","MEDIUM","Config.1","AWS Config should be enabled","1","0","0","0"
"FAILED","HIGH","EC2.2","The VPC default security group should not allow inbound and outbound traffic","2","0","0","0"
"FAILED","MEDIUM","EC2.7","EBS default encryption should be enabled","1","0","0","0"
"FAILED","CRITICAL","IAM.4","IAM root user access key should not exist","1","0","0","0"
"NO_DATA","MEDIUM","ACM.1","ACM certificates should be renewed after a specified time period","0","0","0","0"
"NO_DATA","MEDIUM","APIGateway.1","API Gateway REST and WebSocket API execution logging should be enabled","0","0","0","0"
"NO_DATA","MEDIUM","APIGateway.2","API Gateway REST API stages should be configured to use SSL certificates for backend authentication","0","0","0","0"
"NO_DATA","LOW","APIGateway.3","API Gateway REST API stages should have AWS X-Ray tracing enabled","0","0","0","0"
"NO_DATA","MEDIUM","APIGateway.4","API Gateway should be associated with a WAF Web ACL","0","0","0","0"
"NO_DATA","MEDIUM","APIGateway.5","API Gateway REST API cache data should be encrypted at rest","0","0","0","0"
"NO_DATA","LOW","AutoScaling.1","Auto scaling groups associated with a load balancer should use load balancer health checks","0","0","0","0"
"NO_DATA","HIGH","CloudFront.1","CloudFront distributions should have a default root object configured","0","0","0","0"
"NO_DATA","MEDIUM","CloudFront.2","CloudFront distributions should have origin access identity enabled","0","0","0","0"
"NO_DATA","MEDIUM","CloudFront.3","CloudFront distributions should require encryption in transit","0","0","0","0"
"NO_DATA","LOW","CloudFront.4","CloudFront distributions should have origin failover configured","0","0","0","0"
"NO_DATA","MEDIUM","CloudFront.5","CloudFront distributions should have logging enabled","0","0","0","0"
"NO_DATA","MEDIUM","CloudFront.6","CloudFront distributions should have WAF enabled","0","0","0","0"
"NO_DATA","MEDIUM","CloudTrail.2","CloudTrail should have encryption at-rest enabled","0","0","0","0"
"NO_DATA","LOW","CloudTrail.5","CloudTrail trails should be integrated with Amazon CloudWatch Logs","0","0","0","0"
"NO_DATA","CRITICAL","CodeBuild.1","CodeBuild GitHub or Bitbucket source repository URLs should use OAuth","0","0","0","0"
"NO_DATA","CRITICAL","CodeBuild.2","CodeBuild project environment variables should not contain clear text credentials","0","0","0","0"
"NO_DATA","CRITICAL","DMS.1","Database Migration Service replication instances should not be public","0","0","0","0"
"NO_DATA","MEDIUM","DynamoDB.1","DynamoDB tables should automatically scale capacity with demand","0","0","0","0"
"NO_DATA","MEDIUM","DynamoDB.2","DynamoDB tables should have point-in-time recovery enabled","0","0","0","0"
"NO_DATA","MEDIUM","DynamoDB.3","DynamoDB Accelerator (DAX) clusters should be encrypted at rest","0","0","0","0"
"NO_DATA","MEDIUM","EC2.10","Amazon EC2 should be configured to use VPC endpoints that are created for the Amazon EC2 service","0","0","0","0"
"NO_DATA","MEDIUM","EC2.15","EC2 subnets should not automatically assign public IP addresses","0","0","0","0"
"NO_DATA","LOW","EC2.16","Unused Network Access Control Lists should be removed","0","0","0","0"
"NO_DATA","LOW","EC2.17","EC2 instances should not use multiple ENIs","0","0","0","0"
"NO_DATA","HIGH","EC2.18","Security groups should only allow unrestricted incoming traffic for authorized ports","0","0","0","0"
"NO_DATA","CRITICAL","EC2.19","Security groups should not allow unrestricted access to ports with high risk","0","0","0","0"
"NO_DATA","MEDIUM","EC2.3","Attached EBS volumes should be encrypted at-rest","0","0","0","0"
"NO_DATA","MEDIUM","EC2.4","Stopped EC2 instances should be removed after a specified time period","0","0","0","0"
"NO_DATA","MEDIUM","EC2.6","VPC flow logging should be enabled in all VPCs","0","0","0","0"
"NO_DATA","HIGH","EC2.8","EC2 instances should use Instance Metadata Service Version 2 (IMDSv2)","0","0","0","0"
"NO_DATA","HIGH","EC2.9","EC2 instances should not have a public IPv4 address","0","0","0","0"
"NO_DATA","HIGH","ECS.1","Amazon ECS task definitions should have secure networking modes and user definitions.","0","0","0","0"
"NO_DATA","HIGH","ECS.2","ECS services should not have public IP addresses assigned to them automatically","0","0","0","0"
"NO_DATA","MEDIUM","EFS.1","Elastic File System should be configured to encrypt file data at-rest using AWS KMS","0","0","0","0"
"NO_DATA","MEDIUM","EFS.2","Amazon EFS volumes should be in backup plans","0","0","0","0"
"NO_DATA","MEDIUM","ELB.2","Classic Load Balancers with SSL/HTTPS listeners should use a certificate provided by AWS Certificate Manager","0","0","0","0"
"NO_DATA","MEDIUM","ELB.3","Classic Load Balancer listeners should be configured with HTTPS or TLS termination","0","0","0","0"
"NO_DATA","MEDIUM","ELB.4","Application load balancer should be configured to drop http headers","0","0","0","0"
"NO_DATA","MEDIUM","ELB.5","Application and Classic Load Balancers logging should be enabled","0","0","0","0"
"NO_DATA","MEDIUM","ELB.6","Application Load Balancer deletion protection should be enabled","0","0","0","0"
"NO_DATA","MEDIUM","ELB.7","Classic Load Balancers should have connection draining enabled","0","0","0","0"
"NO_DATA","MEDIUM","ELB.8","Classic Load Balancers with SSL listeners should use a predefined security policy that has strong configuration","0","0","0","0"
"NO_DATA","MEDIUM","ELBv2.1","Application Load Balancer should be configured to redirect all HTTP requests to HTTPS","0","0","0","0"
"NO_DATA","HIGH","EMR.1","Amazon Elastic MapReduce cluster master nodes should not have public IP addresses","0","0","0","0"
"NO_DATA","MEDIUM","ES.1","Elasticsearch domains should have encryption at-rest enabled","0","0","0","0"
"NO_DATA","CRITICAL","ES.2","Elasticsearch domains should be in a VPC","0","0","0","0"
"NO_DATA","MEDIUM","ES.3","Elasticsearch domains should encrypt data sent between nodes","0","0","0","0"
"NO_DATA","MEDIUM","ES.4","Elasticsearch domain error logging to CloudWatch Logs should be enabled","0","0","0","0"
"NO_DATA","MEDIUM","ES.5","Elasticsearch domains should have audit logging enabled","0","0","0","0"
"NO_DATA","MEDIUM","ES.6","Elasticsearch domains should have at least three data nodes","0","0","0","0"
"NO_DATA","MEDIUM","ES.7","Elasticsearch domains should be configured with at least three dedicated master nodes","0","0","0","0"
"NO_DATA","MEDIUM","ES.8","Connections to Elasticsearch domains should be encrypted using TLS 1.2","0","0","0","0"
"NO_DATA","LOW","ElasticBeanstalk.1","Elastic Beanstalk environments should have enhanced health reporting enabled","0","0","0","0"
"NO_DATA","HIGH","ElasticBeanstalk.2","Elastic Beanstalk managed platform updates should be enabled","0","0","0","0"
"NO_DATA","HIGH","IAM.1","IAM policies should not allow full "*" administrative privileges","0","0","0","0"
"NO_DATA","LOW","IAM.2","IAM users should not have IAM policies attached","0","0","0","0"
"NO_DATA","LOW","IAM.21","IAM customer managed policies that you create should not allow wildcard actions for services","0","0","0","0"
"NO_DATA","MEDIUM","IAM.3","IAM users' access keys should be rotated every 90 days or less","0","0","0","0"
"NO_DATA","MEDIUM","IAM.5","MFA should be enabled for all IAM users that have a console password","0","0","0","0"
"NO_DATA","CRITICAL","IAM.6","Hardware MFA should be enabled for the root user","0","0","0","0"
"NO_DATA","MEDIUM","IAM.7","Password policies for IAM users should have strong configurations","0","0","0","0"
"NO_DATA","MEDIUM","IAM.8","Unused IAM user credentials should be removed","0","0","0","0"
"NO_DATA","MEDIUM","KMS.1","IAM customer managed policies should not allow decryption actions on all KMS keys","0","0","0","0"
"NO_DATA","MEDIUM","KMS.2","IAM principals should not have IAM inline policies that allow decryption actions on all KMS keys","0","0","0","0"
"NO_DATA","CRITICAL","KMS.3","AWS KMS keys should not be deleted unintentionally","0","0","0","0"
"NO_DATA","CRITICAL","Lambda.1","Lambda function policies should prohibit public access","0","0","0","0"
"NO_DATA","MEDIUM","Lambda.2","Lambda functions should use supported runtimes","0","0","0","0"
"NO_DATA","CRITICAL","RDS.1","RDS snapshot should be private","0","0","0","0"
"NO_DATA","MEDIUM","RDS.10","IAM authentication should be configured for RDS instances","0","0","0","0"
"NO_DATA","MEDIUM","RDS.12","IAM authentication should be configured for RDS clusters","0","0","0","0"
"NO_DATA","HIGH","RDS.13","RDS automatic minor version upgrades should be enabled","0","0","0","0"
"NO_DATA","MEDIUM","RDS.14","Amazon Aurora clusters should have backtracking enabled","0","0","0","0"
"NO_DATA","MEDIUM","RDS.15","RDS DB clusters should be configured for multiple Availability Zones","0","0","0","0"
"NO_DATA","LOW","RDS.16","RDS DB clusters should be configured to copy tags to snapshots","0","0","0","0"
"NO_DATA","LOW","RDS.17","RDS DB instances should be configured to copy tags to snapshots","0","0","0","0"
"NO_DATA","HIGH","RDS.18","RDS instances should be deployed in a VPC","0","0","0","0"
"NO_DATA","LOW","RDS.19","An RDS event notifications subscription should be configured for critical cluster events","0","0","0","0"
"NO_DATA","CRITICAL","RDS.2","RDS DB Instances should prohibit public access, determined by the PubliclyAccessible configuration","0","0","0","0"
"NO_DATA","LOW","RDS.20","An RDS event notifications subscription should be configured for critical database instance events","0","0","0","0"
"NO_DATA","LOW","RDS.21","An RDS event notifications subscription should be configured for critical database parameter group events","0","0","0","0"
"NO_DATA","LOW","RDS.22","An RDS event notifications subscription should be configured for critical database security group events","0","0","0","0"
"NO_DATA","LOW","RDS.23","RDS instances should not use a database engine default port","0","0","0","0"
"NO_DATA","MEDIUM","RDS.3","RDS DB instances should have encryption at-rest enabled","0","0","0","0"
"NO_DATA","MEDIUM","RDS.4","RDS cluster snapshots and database snapshots should be encrypted at rest","0","0","0","0"
"NO_DATA","MEDIUM","RDS.5","RDS DB instances should be configured with multiple Availability Zones","0","0","0","0"
"NO_DATA","LOW","RDS.6","Enhanced monitoring should be configured for RDS DB instances","0","0","0","0"
"NO_DATA","LOW","RDS.7","RDS clusters should have deletion protection enabled","0","0","0","0"
"NO_DATA","LOW","RDS.8","RDS DB instances should have deletion protection enabled","0","0","0","0"
"NO_DATA","MEDIUM","RDS.9","Database logging should be enabled","0","0","0","0"
"NO_DATA","CRITICAL","Redshift.1","Amazon Redshift clusters should prohibit public access","0","0","0","0"
"NO_DATA","MEDIUM","Redshift.2","Connections to Amazon Redshift clusters should be encrypted in transit","0","0","0","0"
"NO_DATA","MEDIUM","Redshift.3","Amazon Redshift clusters should have automatic snapshots enabled","0","0","0","0"
"NO_DATA","MEDIUM","Redshift.4","Amazon Redshift clusters should have audit logging enabled","0","0","0","0"
"NO_DATA","MEDIUM","Redshift.6","Amazon Redshift should have automatic upgrades to major versions enabled","0","0","0","0"
"NO_DATA","MEDIUM","Redshift.7","Redshift clusters should use enhanced VPC routing","0","0","0","0"
"NO_DATA","MEDIUM","S3.1","S3 Block Public Access setting should be enabled","0","0","0","0"
"NO_DATA","CRITICAL","S3.2","S3 buckets should prohibit public read access","0","0","0","0"
"NO_DATA","CRITICAL","S3.3","S3 buckets should prohibit public write access","0","0","0","0"
"NO_DATA","MEDIUM","S3.4","S3 buckets should have server-side encryption enabled","0","0","0","0"
"NO_DATA","MEDIUM","S3.5","S3 buckets should require requests to use Secure Socket Layer","0","0","0","0"
"NO_DATA","HIGH","S3.6","S3 permissions granted to other AWS accounts in bucket policies should be restricted","0","0","0","0"
"NO_DATA","HIGH","S3.8","S3 Block Public Access setting should be enabled at the bucket-level","0","0","0","0"
"NO_DATA","MEDIUM","SNS.1","SNS topics should be encrypted at-rest using AWS KMS","0","0","0","0"
"NO_DATA","MEDIUM","SQS.1","Amazon SQS queues should be encrypted at rest","0","0","0","0"
"NO_DATA","MEDIUM","SSM.1","EC2 instances should be managed by AWS Systems Manager","0","0","0","0"
"NO_DATA","HIGH","SSM.2","EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation","0","0","0","0"
"NO_DATA","LOW","SSM.3","EC2 instances managed by Systems Manager should have an association compliance status of COMPLIANT","0","0","0","0"
"NO_DATA","CRITICAL","SSM.4","SSM documents should not be public","0","0","0","0"
"NO_DATA","HIGH","SageMaker.1","Amazon SageMaker notebook instances should not have direct internet access","0","0","0","0"
"NO_DATA","MEDIUM","SecretsManager.1","Secrets Manager secrets should have automatic rotation enabled","0","0","0","0"
"NO_DATA","MEDIUM","SecretsManager.2","Secrets Manager secrets configured with automatic rotation should rotate successfully","0","0","0","0"
"NO_DATA","MEDIUM","SecretsManager.3","Remove unused Secrets Manager secrets","0","0","0","0"
"NO_DATA","MEDIUM","SecretsManager.4","Secrets Manager secrets should be rotated within a specified number of days","0","0","0","0"
"NO_DATA","MEDIUM","WAF.1","AWS WAF Classic Global Web ACL logging should be enabled","0","0","0","0"
"PASSED","HIGH","CloudTrail.1","CloudTrail should be enabled and configured with at least one multi-region trail","0","0","0","1"
"PASSED","CRITICAL","EC2.1","EBS snapshots should not be public, determined by the ability to be restorable by anyone","0","0","0","1"
"PASSED","HIGH","GuardDuty.1","GuardDuty should be enabled","0","0","0","1"